A B
0.117 0.126
0.233 0.251
0.349 0.376
0.463 0.500
0.577 0.622
0.690 0.743
0.801 0.862
0.909 0.979
1.016 1.093
1.121 1.204
1.223 1.313
1.322 1.418
1.418 1.519
1.511 1.617
1.600 1.710
1.686 1.799
1.767 1.884
1.845 1.964
1.919 2.040
1.989 2.110
2.054 2.175
2.115 2.235
2.171 2.290
2.222 2.339
2.269 2.383
2.311 2.421
2.348 2.454
2.381 2.482
2.408 2.504
2.431 2.520
2.449 2.531
2.462 2.537
2.471 2.537
2.475 2.533
2.474 2.523
2.469 2.508
2.460 2.489
2.447 2.465
2.429 2.437
2.407 2.404
2.382 2.367
2.353 2.327
2.321 2.283
2.285 2.236
2.247 2.185
2.205 2.132
2.161 2.076
2.114 2.018
2.065 1.958
2.014 1.895
1.962 1.832
1.908 1.767
1.852 1.701
1.795 1.634
1.738 1.567
1.680 1.500
1.621 1.432
1.562 1.365
1.503 1.298
1.445 1.233
1.387 1.168
1.329 1.104
1.272 1.042
1.217 0.981
1.162 0.922
1.109 0.865
1.057 0.810
1.008 0.757
0.959 0.706
0.913 0.658
0.869 0.613
0.827 0.570
0.787 0.530
0.750 0.493
0.715 0.458
0.682 0.426
0.652 0.397
0.625 0.371
0.600 0.348
0.577 0.327
0.558 0.309
0.540 0.293
0.525 0.280
0.513 0.269
0.503 0.261
0.495 0.255
0.489 0.251
0.486 0.248
0.485 0.248
0.485 0.249
0.487 0.251
0.491 0.254
0.496 0.258
0.503 0.264
0.511 0.269
0.520 0.275
0.529 0.282
0.539 0.288
0.550 0.294
0.561 0.299
0.572 0.304
0.583 0.308
0.594 0.311
0.605 0.312
0.614 0.312
0.623 0.310
0.631 0.307
0.637 0.302
0.642 0.294
0.646 0.284
0.648 0.272
0.648 0.257
0.646 0.239
0.642 0.218
0.635 0.195
0.626 0.169
0.614 0.140
0.600 0.107
0.583 0.072
0.563 0.033
0.540 -0.008
0.514 -0.053
0.485 -0.101
0.453 -0.152
0.418 -0.205
0.379 -0.262
0.338 -0.321
0.293 -0.383
0.245 -0.447
0.194 -0.514
0.140 -0.582
0.084 -0.653
0.024 -0.726
-0.038 -0.800
-0.103 -0.876
-0.171 -0.953
-0.241 -1.031
-0.313 -1.110
-0.387 -1.189
-0.464 -1.268
-0.542 -1.348
-0.621 -1.427
-0.702 -1.506
-0.784 -1.583
-0.867 -1.660
-0.951 -1.736
-1.035 -1.809
-1.120 -1.881
-1.204 -1.951
-1.289 -2.018
-1.373 -2.083
-1.456 -2.144
-1.539 -2.203
-1.620 -2.258
-1.700 -2.309
-1.778 -2.356
-1.855 -2.400
-1.929 -2.439
-2.001 -2.473
-2.071 -2.503
-2.137 -2.528
-2.201 -2.548
-2.261 -2.563
-2.318 -2.573
-2.372 -2.577
-2.421 -2.576
-2.467 -2.570
-2.508 -2.558
-2.546 -2.541
-2.579 -2.518
-2.607 -2.490
-2.631 -2.456
-2.650 -2.417
-2.664 -2.372
-2.673 -2.323
-2.678 -2.268
-2.677 -2.208
-2.671 -2.143
-2.661 -2.073
-2.645 -1.999
-2.625 -1.920
-2.599 -1.837
-2.569 -1.750
-2.533 -1.660
-2.493 -1.566
-2.449 -1.468
-2.399 -1.368
-2.346 -1.265
-2.288 -1.159
-2.226 -1.052
-2.160 -0.942
-2.090 -0.831
-2.016 -0.719
-1.939 -0.606
-1.859 -0.492
-1.776 -0.379
-1.690 -0.265
-1.602 -0.151
-1.511 -0.038
-1.418 0.074
-1.323 0.184
-1.227 0.293
-1.129 0.401
-1.031 0.506
-0.931 0.608
-0.831 0.708
-0.731 0.805
-0.631 0.898
-0.531 0.989
-0.431 1.075
-0.333 1.158
-0.235 1.236
-0.139 1.311
-0.044 1.381
0.049 1.446
0.140 1.507
0.229 1.563
0.315 1.614
0.399 1.660
0.480 1.701
0.558 1.738
0.633 1.769
0.704 1.795
0.772 1.816
0.837 1.832
0.898 1.843
0.955 1.849
1.008 1.851
1.057 1.848
1.102 1.840
1.144 1.828
1.181 1.812
1.214 1.791
1.242 1.767
1.267 1.739
1.288 1.707
1.304 1.672
1.317 1.634
1.326 1.593
1.331 1.550
1.332 1.504
1.329 1.456
1.324 1.406
1.314 1.355
1.302 1.302
1.286 1.248
1.268 1.194
1.246 1.138
1.222 1.083
1.196 1.027
1.168 0.972
1.137 0.917
1.105 0.863
1.071 0.810
1.036 0.758
1.000 0.707
0.963 0.658
0.925 0.611
0.886 0.565
0.848 0.522
0.809 0.481
0.770 0.443
0.732 0.407
0.694 0.374
0.657 0.344
0.620 0.316
0.585 0.292
0.552 0.270
0.519 0.252
0.489 0.236
0.460 0.224
0.433 0.214
0.408 0.208
